"filename", "language", "C#", "XML", "JSON", "HTML", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\TextInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\account\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 4, 82
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\account\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 4, 85
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\dashboard\ActivityCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 13, 78
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\dashboard\ActivityDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\dashboard\ActivityFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\dashboard\ActivityList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 8, 27
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\details\ActivitityDetailHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 2, 4, 87
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\details\ActivityDetailChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 52
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\details\ActivityDetailInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 9, 61
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\details\ActivityDetailSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 6, 68
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\details\ActivityDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\form\ActivityForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 15, 94
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\form\categoryOptions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\activities\profiles\ProfileCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 44
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\counter\Counter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 9, 38
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\errors\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\errors\ServerError.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\errors\TestErrors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\features\home\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 2, 43
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\Hooks\useAccount.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 10, 67
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\Hooks\useActivity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 17, 133
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\lib\Hooks\useStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
